ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050804	modulation of chemical synaptic transmission	243/5579	493/18888	0.49290060851927	1.66874111735292	9.74133656094344	8.57864067928914e-21	3.80821946193603e-17	3.21464033195391e-17	PRKCZ/CLSTN1/FBXO2/PINK1/EPHB2/CNR2/GRIK3/RIMS3/SLC6A9/NTNG1/RAP1A/CHRNB2/SYT11/NTRK1/TNR/ADORA1/WNT3A/DISC1/KMO/GPR158/NRG3/GRID1/ATAD1/CPEB3/SORCS3/HRAS/SCT/LRRC4C/P2RX3/STX3/SYT7/NPAS4/SYT12/SHANK2/GRM5/GRIA4/DRD2/BACE1/GRIK4/ERC1/NTF3/GRIN2B/LRRK2/SYT1/PPFIA2/ATP2A2/CUX2/HTR2A/PCDH8/NALCN/NGDN/SLC8A3/SIPA1L1/PSEN1/CYP46A1/UBE3A/APBA2/CHRNA7/ITPKA/MAP1A/UNC13C/SLC24A1/NPTN/CPLX3/RASGRF1/SV2B/MCTP2/BAIAP3/GRIN2A/SHISA9/PRKCB/CACNG3/KCTD13/MAPK3/VPS35/CDH11/CNTNAP4/JPH3/ABR/PAFAH1B1/ARRB2/SHISA6/ARHGAP44/ADORA2B/SLC6A4/NF1/RARA/HAP1/MPP2/MAPT/NGFR/GRIN2C/EIF4A3/BAIAP2/DLGAP1/CDH2/DCC/CPLX4/CBLN2/NETO1/PTPRS/CACNA1A/PRKACA/GIPC1/UNC13A/RAB3A/TSHZ3/SLC7A10/GRIK5/DMPK/SLC8A2/NTF4/PPFIA3/SHANK1/CACNG8/LILRB2/BRSK1/SHISA7/PRKCE/NRXN1/RTN4/PPP3R1/DYSF/SCTR/CACNB4/SLC4A10/PLCL1/EPHA4/SERPINE2/PLCB1/DLGAP4/PLCG1/RIMS4/ZMYND8/KCNB1/APP/GRIK1/PDE9A/SEPTIN5/BCR/SYN3/LARGE1/CACNG2/SYNGR1/PACSIN2/MAPK8IP2/SHANK3/CNTN4/GRM7/OXTR/SLC6A1/HRH1/WNT7A/SLC6A6/CX3CR1/CACNA2D2/WNT5A/ERC2/ABHD6/PXK/FAM107A/IGSF11/GSK3B/TMEM108/EPHB1/CLSTN2/MME/BCHE/NLGN1/FXR1/CPLX1/NSG1/SORCS2/CD38/KIT/SNCA/GRID2/PPP3CA/GRIA2/TRIO/SV2C/RASGRF2/MEF2C/SLC12A2/GRIA1/CPLX2/RGS14/SCGN/SYNGAP1/ITPR3/GRM4/BTBD9/LRFN2/RIMS1/EPHA7/GRIK2/LAMA2/GRM1/SYNE1/PRKN/PRKAR1B/CAMK2B/ADCY1/EGFR/HIP1/PPP1R9A/RELN/PRKAR2B/GRM8/CHRM2/DGKI/DLGAP2/LZTS1/ADRA1A/PTK2B/STAU2/RIMS2/SYBU/ADCY8/KCNQ3/ADGRB1/ARC/SLC1A1/JAK2/PTPRD/SLC24A2/PHF24/APBA1/NTRK2/GRIN3A/STXBP1/DNM1/ABL1/NTNG2/GRIN1/CACNA1B/NLGN4X/CDKL5/CASK/SYN1/IQSEC2/OPHN1/GRIA3	243
GO:0099177	regulation of trans-synaptic signaling	243/5579	494/18888	0.491902834008097	1.66536309889674	9.7022185430019	1.20208947662122e-20	3.80821946193603e-17	3.21464033195391e-17	PRKCZ/CLSTN1/FBXO2/PINK1/EPHB2/CNR2/GRIK3/RIMS3/SLC6A9/NTNG1/RAP1A/CHRNB2/SYT11/NTRK1/TNR/ADORA1/WNT3A/DISC1/KMO/GPR158/NRG3/GRID1/ATAD1/CPEB3/SORCS3/HRAS/SCT/LRRC4C/P2RX3/STX3/SYT7/NPAS4/SYT12/SHANK2/GRM5/GRIA4/DRD2/BACE1/GRIK4/ERC1/NTF3/GRIN2B/LRRK2/SYT1/PPFIA2/ATP2A2/CUX2/HTR2A/PCDH8/NALCN/NGDN/SLC8A3/SIPA1L1/PSEN1/CYP46A1/UBE3A/APBA2/CHRNA7/ITPKA/MAP1A/UNC13C/SLC24A1/NPTN/CPLX3/RASGRF1/SV2B/MCTP2/BAIAP3/GRIN2A/SHISA9/PRKCB/CACNG3/KCTD13/MAPK3/VPS35/CDH11/CNTNAP4/JPH3/ABR/PAFAH1B1/ARRB2/SHISA6/ARHGAP44/ADORA2B/SLC6A4/NF1/RARA/HAP1/MPP2/MAPT/NGFR/GRIN2C/EIF4A3/BAIAP2/DLGAP1/CDH2/DCC/CPLX4/CBLN2/NETO1/PTPRS/CACNA1A/PRKACA/GIPC1/UNC13A/RAB3A/TSHZ3/SLC7A10/GRIK5/DMPK/SLC8A2/NTF4/PPFIA3/SHANK1/CACNG8/LILRB2/BRSK1/SHISA7/PRKCE/NRXN1/RTN4/PPP3R1/DYSF/SCTR/CACNB4/SLC4A10/PLCL1/EPHA4/SERPINE2/PLCB1/DLGAP4/PLCG1/RIMS4/ZMYND8/KCNB1/APP/GRIK1/PDE9A/SEPTIN5/BCR/SYN3/LARGE1/CACNG2/SYNGR1/PACSIN2/MAPK8IP2/SHANK3/CNTN4/GRM7/OXTR/SLC6A1/HRH1/WNT7A/SLC6A6/CX3CR1/CACNA2D2/WNT5A/ERC2/ABHD6/PXK/FAM107A/IGSF11/GSK3B/TMEM108/EPHB1/CLSTN2/MME/BCHE/NLGN1/FXR1/CPLX1/NSG1/SORCS2/CD38/KIT/SNCA/GRID2/PPP3CA/GRIA2/TRIO/SV2C/RASGRF2/MEF2C/SLC12A2/GRIA1/CPLX2/RGS14/SCGN/SYNGAP1/ITPR3/GRM4/BTBD9/LRFN2/RIMS1/EPHA7/GRIK2/LAMA2/GRM1/SYNE1/PRKN/PRKAR1B/CAMK2B/ADCY1/EGFR/HIP1/PPP1R9A/RELN/PRKAR2B/GRM8/CHRM2/DGKI/DLGAP2/LZTS1/ADRA1A/PTK2B/STAU2/RIMS2/SYBU/ADCY8/KCNQ3/ADGRB1/ARC/SLC1A1/JAK2/PTPRD/SLC24A2/PHF24/APBA1/NTRK2/GRIN3A/STXBP1/DNM1/ABL1/NTNG2/GRIN1/CACNA1B/NLGN4X/CDKL5/CASK/SYN1/IQSEC2/OPHN1/GRIA3	243
GO:0050808	synapse organization	235/5579	493/18888	0.476673427991886	1.61380313818081	8.94107270516019	7.07566194226345e-18	1.49437980220604e-14	1.26145397644353e-14	RER1/CLSTN1/IGSF21/CDC42/C1QC/C1QA/EPHB2/PTPRF/NFIA/NEGR1/NTNG1/SORT1/CHRNB2/SEMA4A/BCAN/NTRK1/NOS1AP/LMX1A/DNM3/TNR/CACNA1S/WNT3A/EGLN1/DISC1/CACNB2/GPR158/ARHGAP22/ANK3/LRRTM3/SPOCK2/NRG3/GRID1/SLIT1/CTBP2/PPFIBP2/LRRC4C/NRXN2/NPAS4/PPFIA1/SHANK2/GRM5/CNTN5/DRD2/NECTIN1/KIRREL3/ERC1/GRIN2B/PTPRO/STK38L/PPFIBP1/CAPRIN2/LRRK2/TUBA1A/PPFIA2/CUX2/WASF3/PCDH8/SLITRK5/FARP1/COL4A1/LRFN5/SIX4/SPTB/SLC8A3/SIPA1L1/PSEN1/FLRT2/RPS6KA5/UBE3A/GABRB3/GABRA5/GABRG3/CHRNA7/ITPKA/UNC13C/ADAM10/NPTN/IGF1R/ITGAM/VPS35/CDH8/CRK/PAFAH1B1/ARHGEF15/SHISA6/ARHGAP44/NF1/ASIC2/ERBB2/C1QL1/MAPT/ITGB3/TANC2/SDK2/BAIAP2/CDH2/CBLN2/PALM/PTPRS/C3/INSR/UNC13A/RAB3A/DMPK/C5AR1/SLC8A2/PPFIA3/LRRC4B/SHANK1/LILRB2/SHISA7/RHOB/NRXN1/ADD2/CTNNA2/POTEI/POTEE/POTEKP/CACNB4/TANC1/CHRNA1/ERBB4/EPHA4/DOCK10/DNER/NGEF/RAB17/KIF1A/SYNDIG1/SNTA1/PTPRT/ZMYND8/APP/TIAM1/DSCAM/SEZ6L/LARGE1/CACNG2/WNT7B/PLXNB2/SHANK3/CNTN6/CNTN4/LRRN1/OXTR/SLC6A1/WNT7A/CX3CR1/BSN/SEMA3F/CACNA2D2/WNT5A/ERC2/ROBO2/GAP43/TMEM108/EPHB1/KY/CLSTN2/NLGN1/DLG1/DOK7/APBB2/GABRG1/GABRA2/ADGRL3/PTPN13/SNCA/GRID2/PDLIM5/GLRB/GPM6A/CTNND2/CDH10/CDH9/GDNF/MEF2C/PCDHB5/PCDHB16/PCDHB14/SYNPO/GRIA1/GABRB2/GABRG2/NEDD9/CAP2/SYNGAP1/MDGA1/LRFN2/PTK7/ADGRF1/ADGRB3/GJA10/EPHA7/EZR/THBS2/SDK1/ACTB/CAMK2B/FZD9/RELN/PLXNA4/LZTS1/PTK2B/STAU2/SYBU/ASAP1/ADGRB1/ARC/ARHGAP39/SLC1A1/PTPRD/LINGO2/NTRK2/SEMA4D/HMCN2/ABL1/NTNG2/NLGN4X/FRMPD4/CDKL5/IL1RAPL1/SYN1/GRIPAP1/ARHGEF9/ZC4H2/OPHN1/ZDHHC15/ARMCX5-GPRASP2/IL1RAPL2/GPC4/FGF13/SLITRK2/GABRE/GABRA3	235
GO:0060078	regulation of postsynaptic membrane potential	92/5579	148/18888	0.621621621621622	2.10453292511009	8.73396986383924	1.64734301084979e-16	2.60939132918607e-13	2.20267101003363e-13	GABRD/PRKCZ/GRIK3/SLC1A7/KCNA2/CHRNB2/ADORA1/GRID1/INSYN2A/DRD4/P2RX3/NPAS4/GRM5/GRIA4/DRD2/HTR3B/GRIK4/KCNA1/GRIN2B/LRRK2/CUX2/P2RX7/P2RX4/SLC8A3/GABRA5/GABRG3/CHRNA7/ABAT/GRIN2A/TRPV1/P2RX5/ARRB2/MPP2/GRIN2C/EIF4A3/BAIAP2/NETO1/GRIK5/GSK3A/DMPK/SLC8A2/SHANK1/NRXN1/CHRNA1/CHRND/CHRNG/ZMYND8/NTSR1/APP/GRIK1/MAPK8IP2/SHANK3/WNT7A/IGSF11/GSK3B/TMEM108/NLGN1/HTR3E/GABRG1/GABRA2/GABRB1/SNCA/GRID2/PPP3CA/GLRB/GRIA2/GLRA3/HCN1/MEF2C/GRIA1/GABRB2/GABRG2/INSYN2B/SLC29A1/RIMS1/GABRR2/GRIK2/GRM1/SYNE1/PRKAR1B/RELN/KCND2/PTK2B/CHRNA2/RIMS2/GRIN3A/GRIN1/NLGN4X/GLRA2/GRIA3/GABRE/GABRA3	92
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	100/5579	168/18888	0.595238095238095	2.0152100990961	8.55745465176949	5.46933690079353e-16	6.93074372068556e-13	5.85046332482777e-13	CLSTN1/IGSF21/PCDH15/CDH23/CDHR5/FAT3/CADM1/DSCAML1/NECTIN1/KIRREL3/PCDH8/PCDH9/CDH24/NPTN/PKD1/CDH8/CDH11/CDH5/CDH3/CDH13/CDH15/PECAM1/SDK2/PTPRM/CDH2/DSC3/DSG2/CDH20/CDH7/NECTIN2/PTPRT/CDH22/CDH4/DSCAM/CELSR1/PLXNB2/CNTN6/CNTN4/CDHR4/ROBO2/ROBO1/CADM2/IGSF11/PIK3CB/CLSTN2/FAT4/DCHS2/PALLD/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/PCDHA1/PCDHA2/PCDHA4/PCDHA3/PCDHA11/PCDHA12/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHA10/PCDHA13/PCDHAC1/PCDHAC2/PCDHB5/PCDHB16/PCDHB8/PCDHB14/PCDHB15/PCDHGA11/PCDHGA1/PCDHGA2/PCDHGA3/PCDHGB1/PCDHGA4/PCDHGB2/PCDHGA5/PCDHGB3/PCDHGA6/PCDHGA7/PCDHGB4/PCDHGA8/PCDHGB5/PCDHGA9/PCDHGB6/PCDHGA10/PCDHGB7/PCDH1/FAT2/CDHR2/PTK7/SDK1/HMCN2/PCDH11X/PCDH19	100
GO:0042391	regulation of membrane potential	211/5579	446/18888	0.473094170403587	1.60168537203495	8.325682250962	9.69796352114477e-16	1.02410494783289e-12	8.64479871069063e-13	GABRD/PRKCZ/KCNAB2/MTOR/PINK1/CNR2/OPRD1/GRIK3/RIMS3/SLC1A7/KCNA2/CASQ2/CHRNB2/HCN3/NOS1AP/ADORA1/KCNH1/KCNK2/KCNK1/ACTN2/RYR2/CACNB2/ANK3/CTNNA3/KCNMA1/GRID1/INSYN2A/BNIP3/DRD4/KCNQ1/P2RX3/KCNK4/NPAS4/GRM5/GRIA4/BCO2/DRD2/HTR3B/GRIK4/CACNA1C/KCNA1/GRIN2B/PKP2/LRRK2/KCNC2/ATP2A2/CUX2/SLC8B1/P2RX7/P2RX4/NALCN/AKAP6/PPP2R3C/SLC8A3/PSEN1/SLC24A4/GABRB3/GABRA5/GABRG3/CHRNA7/HCN4/CACNA1H/ABAT/GRIN2A/CNGB1/PIEZO1/YWHAE/TRPV1/P2RX5/ARRB2/ATP1B2/UBB/SLC6A4/ASIC2/KCNH4/MPP2/MAPT/CACNA1G/KCNH6/GRIN2C/EIF4A3/BAIAP2/PIEZO2/DSG2/SMAD7/NEDD4L/BCL2/NETO1/HCN2/GNA11/GNA15/SLC1A6/CRTC1/FXYD1/ATP1A3/GRIK5/GSK3A/DMPK/SLC8A2/TRPM4/MYH14/SHANK1/EHD3/SLC8A1/KCNK12/NRXN1/CACNB4/SCN2A/CHRNA1/PID1/CHRND/CHRNG/SNTA1/KCNK15/RIMS4/ZMYND8/KCNB1/NTSR1/APP/GRIK1/KCNE1/COL6A1/BID/CACNG2/CACNA1I/TSPO/MAPK8IP2/SHANK3/CAV3/WNT7A/KCNH8/GPD1L/SCN5A/SCN11A/CACNA1D/IGSF11/GSK3B/TMEM108/SLC25A36/NLGN1/KCNMB2/HTR3E/FGF12/DLG1/WDR1/GABRG1/GABRA2/GABRB1/SNCA/GRID2/PPP3CA/ANK2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/MEF2C/GLRX/KCNN2/GRIA1/GABRB2/GABRG2/INSYN2B/GABRP/DSP/SLC29A1/RIMS1/KCNQ5/TBX18/GABRR2/GRIK2/CCN6/GJA1/TRDN/GRM1/SYNE1/PRKN/PRKAR1B/ABCB5/KCTD7/FZD9/CD36/CACNA2D1/RELN/CFTR/KCND2/CLCN1/KCNH2/BNIP3L/ADRA1A/PTK2B/CHRNA2/RIMS2/KCNQ3/KCNK9/GNA14/GNAQ/NTRK2/GRIN3A/PTPN3/ABL1/GRIN1/NLGN4X/GLRA2/DMD/TRPC5/GRIA3/FGF13/GABRE/GABRA3	211
GO:0007409	axonogenesis	208/5579	455/18888	0.457142857142857	1.5476813561058	7.65636452379428	1.21436698639032e-13	1.0991756036813e-10	9.27849422232965e-11	EPHA8/EPHB2/EPHA10/MACF1/EDN2/SZT2/DAB1/NTNG1/NOTCH2/CHRNB2/SEMA4A/CRABP2/NTRK1/VANGL2/LMX1A/TNN/TNR/LHX4/NFASC/PLXNA2/ENAH/WNT3A/DISC1/PARD3/PRKG1/ANK3/UNC5B/VCL/SLIT1/SHTN1/VAX1/FGFR2/BRSK2/EIF4G2/LRRC4C/MARK2/TSKU/PAK1/CNTN5/NCAM1/DRD2/DSCAML1/NECTIN1/FEZ1/PTPRO/CNTN1/PRICKLE1/NELL2/DIP2B/TCTN1/ULK1/ATP8A2/DCLK1/SLITRK5/NKX2-1/NIN/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/RPS6KA5/BCL11B/MAP1A/SEMA6D/MAP2K1/NEO1/SIN3A/SEMA4B/RGMA/IGF1R/METRN/PLA2G10/CDH11/IST1/PITPNA/PAFAH1B1/ERBB2/MAPT/WNT3/NGFR/BAIAP2/PTPRM/CDH2/SMAD4/DCC/BCL2/MAP2K2/SEMA6B/PTPRS/DNM2/NOTCH3/MAP1S/RAB3A/APLP1/NUMBL/MEGF8/VASP/NOVA2/ARHGAP35/BRSK1/DPYSL5/FEZ2/SOS1/NRXN1/RTN4/VAX2/CTNNA2/GLI2/POTEI/POTEE/POTEKP/TBR1/KLF7/CREB1/MAP2/EPHA4/KIAA1755/B4GALT5/PARD6B/BMP7/CDH4/APP/TIAM1/DSCAM/ADARB1/RTN4R/WNT7B/PLXNB2/CHL1/CNTN6/CNTN4/WNT7A/SCN11A/TRAK1/SEMA3F/WNT5A/ROBO2/ROBO1/EPHA3/EPHA6/BOC/GAP43/GSK3B/KALRN/PLXNA1/EPHB1/MAP3K13/SLIT2/APBB2/EPHA5/BMPR1B/UNC5C/POU4F2/EDNRA/PALLD/PLEKHG4B/SEMA5A/TRIO/GDNF/SEMA6A/FSTL4/CDKL3/GFRA3/PCDHAC2/CYFIP2/SLIT3/UNC5A/SYNGAP1/PTK7/EPHA7/LAMA2/UST/TIAM2/ACTB/ETV1/CRPPA/EVX1/GLI3/ADCY1/COBL/AUTS2/SEMA3C/SEMA3A/RELN/FEZF1/SMO/PLXNA4/KEL/GBX1/UNC5D/EXT1/PTK2/ADGRB1/NTRK2/SEMA4D/STXBP1/HMCN2/ABL1/NTNG2/OLFM1/CDKL5/ARX/OPHN1/TRPC5/SLC9A6/FGF13/SLITRK2	208
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	139/5579	279/18888	0.498207885304659	1.68670918401764	7.48170185632338	6.51952134390862e-13	5.16346090437563e-10	4.35864315110522e-10	CLSTN1/IGSF21/PTPRF/DAB1/NTNG1/SELP/PCDH15/CDH23/RIC8A/CDHR5/LRRC4C/TENM4/FAT3/CADM1/DSCAML1/NECTIN1/CRTAM/KIRREL3/PCDH8/PCDH9/CLDN10/CDH24/LRFN5/MAP2K5/NPTN/PKD1/CLDN9/ITGAL/ITGAM/CDH8/CDH11/CDH5/CDH3/CDH13/CDH15/PECAM1/SDK2/PTPRM/CDH2/DSC3/DSG2/CDH20/CDH7/PTPRS/FXYD5/PSG5/CD177/NECTIN2/LRRC4B/REG3A/ACVR1/PTPRT/CDH22/CDH4/CLDN14/DSCAM/ITGB2/CELSR1/PLXNB2/CNTN6/CNTN4/CDHR4/ROBO2/ROBO1/CADM2/IGSF11/ATP2C1/PIK3CB/CLSTN2/CLDN11/NLGN1/ADGRL3/GRID2/FAT4/DCHS2/PALLD/TENM3/CLDN22/FAT1/CDH18/CDH12/CDH10/CDH9/PCDHA1/PCDHA2/PCDHA4/PCDHA3/PCDHA11/PCDHA12/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHA10/PCDHA13/PCDHAC1/PCDHAC2/PCDHB5/PCDHB16/PCDHB8/PCDHB14/PCDHB15/PCDHGA11/PCDHGA1/PCDHGA2/PCDHGA3/PCDHGB1/PCDHGA4/PCDHGB2/PCDHGA5/PCDHGB3/PCDHGA6/PCDHGA7/PCDHGB4/PCDHGA8/PCDHGB5/PCDHGA9/PCDHGB6/PCDHGA10/PCDHGB7/PCDH1/FAT2/TENM2/CDHR2/MDGA1/PTK7/CD164/SDK1/UNC5D/PTPRD/HMCN2/NTNG2/IL1RAPL1/PCDH11X/PCDH19/TENM1/GPC4/SLITRK2	139
GO:0034329	cell junction assembly	204/5579	453/18888	0.450331125827815	1.52461987894529	7.31744103079216	1.23605958254438e-12	8.70185946111246e-10	7.34551899287487e-10	NPHP4/CLSTN1/EPHA2/RCC2/CDC42/EPHB2/GJA4/MACF1/PATJ/NEGR1/RAP1A/RHOC/CHRNB2/SEMA4A/NTRK1/DNM3/WNT3A/AGT/ACTN2/MPP7/PARD3/LRRTM3/SPOCK2/VCL/NRG3/SORBS1/SLIT1/LDB1/PKP3/PTPRJ/NRXN2/NPAS4/RHOD/SHANK2/CNTN5/DRD2/NECTIN1/KIRREL3/JAM3/CD9/PTPRO/PKP2/HDAC7/CUX2/THSD1/SLITRK5/CLDN10/FARP1/ARHGEF7/MMP14/CDH24/LRFN5/SIX4/PRKCH/FLRT2/GABRB3/GABRA5/GABRG3/TJP1/FMN1/TLN2/SMAD3/CORO2B/MYO9A/NPTN/PEAK1/CLDN9/VPS35/CDH8/CDH11/CDH5/CDH3/MARVELD3/CDH13/CDH15/CRK/ARHGEF15/ASIC2/ITGB3/PECAM1/PRKCA/SDK2/ITGB4/FBF1/LAMA3/CDH2/SMAD7/CDH20/BCL2/CDH7/CBLN2/PIP5K1C/PTPRS/PRKACA/NPHS1/LRRC4B/NRXN1/ADD2/LIMS1/CLASP1/ERBB4/TNS1/DNER/RAB17/SYNDIG1/CDH22/PARD6B/CDH4/APP/CLDN14/DSCAM/BCR/LARGE1/SH3BP1/PLXNB2/SHANK3/LRRN1/OXTR/WNT7A/BSN/WNT5A/FAM107A/ROBO2/EPHA3/PHLDB2/GAP43/EPHB1/CLSTN2/CLDN11/NLGN1/DLG1/WDR1/LIMCH1/GABRG1/GABRA2/HOPX/ADGRL3/PTPN13/SNCA/GRID2/PDLIM5/ANK2/GPM6A/CLDN24/CLDN22/CDH18/CDH12/CDH10/CDH9/ITGA2/MARVELD2/MEF2C/CTNNA1/PCDHB5/PCDHB16/PCDHB14/GRIA1/GABRB2/GABRG2/DUSP22/MDGA1/ADGRF1/ADGRB3/GJA10/EPHA7/GJA1/PTPRK/AFDN/THBS2/MICALL2/SDK1/ACTB/CNTNAP2/DLC1/LZTS1/PTK2B/SFRP1/SNAI2/STAU2/GRHL2/PTK2/ADGRB1/PLEC/PTPRD/TEK/LINGO2/NTRK2/SEMA4D/ABL1/RAPGEF1/NTNG2/NLGN4X/ARHGAP6/ACE2/IL1RAPL1/ARHGEF9/OPHN1/ARMCX5-GPRASP2/IL1RAPL2/GPC4/FGF13/SLITRK2/GABRE/GABRA3	204
GO:0010975	regulation of neuron projection development	206/5579	460/18888	0.447826086956522	1.51613893716343	7.25593520023947	1.83760089146359e-12	1.16430392483133e-09	9.82826329423845e-10	ACAP3/EPHB2/MACF1/PTPRF/DAB1/ROR1/NEGR1/PLPPR5/NTNG1/RAP1A/CHRNB2/SEMA4A/CRABP2/NTRK1/DNM3/TNN/TNR/ABL2/PLXNA2/WNT3A/TRIM67/DISC1/CAMK1D/SLIT1/SHTN1/KNDC1/MIR210/BRSK2/EIF4G2/LRRC4C/MARK2/TSKU/PAK1/FAT3/FEZ1/PTPRO/CAPRIN2/LRRK2/CNTN1/TWF1/DIP2B/MDM2/PPFIA2/CUX2/ULK1/ATP8A2/PRKD1/NIN/SIPA1L1/PSEN1/BAG5/UBE3A/ITPKA/LTK/SEMA6D/MAP2K1/NEO1/NPTN/PTPN9/NTRK3/SEMA4B/RGMA/IGF1R/METRN/NDRG4/IST1/CRK/RTN4RL1/PAFAH1B1/ATP1B2/ARHGAP44/PMP22/RETREG3/MAPT/WNT3/TANC2/BAIAP2/CDH2/RIT2/SKOR2/DCC/NEDD4L/MAP2K2/SEMA6B/PTPRS/ANKRD27/GSK3A/MEGF8/NOVA2/ARHGAP35/BRSK1/ALKAL2/KIDINS220/DPYSL5/ALK/RTN4/CCDC88A/BCL11A/CTNNA2/TBR1/HECW2/CFLAR/MAP2/OBSL1/EPHA4/NGEF/RAB17/KIF1A/CBFA2T2/PREX1/BMP7/CDH4/SS18L1/TIAM1/DSCAM/RTN4R/KREMEN1/EP300/PLXNB2/SHANK3/WNT7A/ULK4/TRAK1/SEMA3F/WNT5A/PTPRG/ROBO2/ROBO1/EPHA3/GSK3B/PLXNA1/NCK1/SERPINI1/TNIK/NLGN1/MAP3K13/DGKG/GAK/CRMP1/CD38/SLIT2/SCARB2/GRID2/PDLIM5/PPP3CA/POU4F2/TENM3/SEMA5A/SEMA6A/FSTL4/CDKL3/SPOCK1/MBOAT1/DDR1/SYNGAP1/CUL7/PTK7/ADGRB3/EPHA7/FUT9/HDAC2/UST/SYNE1/TIAM2/TMEM106B/HECW1/CAMK2B/DDX56/COBL/MAGI2/SEMA3C/SEMA3A/CUX1/RELN/PLXNA4/KEL/PRAG1/LZTS1/PTK2B/FGFR1/SFRP1/ALKAL1/LYN/TOX/STAU2/SDC2/CSMD3/ARC/KANK1/VLDLR/PTPRD/NTRK2/SEMA4D/LPAR1/ABL1/RAPGEF1/NTNG2/CDKL5/IL1RAPL1/EFHC2/ZDHHC15/ARMCX5-GPRASP2/TRPC5/THOC2/FRMD7/FGF13	206
