category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	125/2663	254/9497	0.492125984251969	1.75505838244121	7.61393849165065	3.67565604493451e-13	1.27912830363721e-10	7.77691436875618e-11	3362/5737/5567/255231/845/4914/777/779/493/6262/1131/57118/90550/51196/2263/6786/5024/219931/2915/80310/775/2904/3709/2065/488/53373/4842/5027/5025/2321/3356/6547/1139/6263/1133/3706/91860/4916/8912/115/2903/5579/5261/113/4775/5336/5026/489/136/2064/8913/5578/2905/27006/2767/2769/773/5566/6261/6543/6546/3973/5534/7039/5136/2066/84812/23236/5332/5335/4923/8911/3708/5021/491/3269/776/4638/2261/952/5156/5530/6870/817/83447/1909/108/2668/2246/3360/5159/147/8817/2264/2324/340156/3710/7942/10345/2911/5137/816/107/1956/4233/1129/4846/5533/148/2185/2260/7419/444/114/9630/2776/4915/116443/2902/774/2925/778/5255/3358/492	125
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	67/2663	116/9497	0.577586206896552	2.05983334844031	7.16903096760114	1.54575622740094e-11	2.68961583567764e-09	1.63524737740836e-09	2782/2899/6512/5567/5321/6506/156/22941/2915/2893/2900/775/2904/3709/27165/246213/54331/255189/51764/115/2903/5579/5595/113/2775/5578/2905/9229/2788/773/5566/6511/9454/2901/8605/50944/5534/23236/5332/2897/85358/3708/2917/776/111/7220/5337/59345/5530/2891/108/2890/3710/2914/2898/2911/107/2770/2792/2918/5533/114/6505/2776/116443/2902/2892	67
NA	NA	hsa04082	Neuroactive ligand signaling	98/2663	199/9497	0.492462311557789	1.75625781932569	6.73007794871211	1.27727585093832e-10	1.48163998708845e-08	9.00815600135444e-09	2782/2563/3362/4985/2899/6536/6512/5567/1141/134/1131/1103/1815/6506/5024/2915/2893/1813/9177/2900/6539/2904/246213/5025/3356/54331/2562/2558/2567/1139/1133/51764/115/2903/5579/113/2775/5026/136/6532/5578/2905/2788/2767/5566/6511/2901/5443/23236/5332/63910/2897/2917/6529/3269/111/9934/64805/59345/285242/2565/2555/2560/6870/2743/2891/8001/6531/108/3360/2890/147/2561/2566/2568/2914/2570/2898/2911/4988/107/2770/2792/2918/1129/148/5368/4986/114/6505/2776/9568/116443/2902/3358/2892/2564/2556	98
NA	NA	hsa04517	IgSF CAM signaling	135/2663	302/9497	0.447019867549669	1.59419740222276	6.55053546723592	2.52388038013197e-10	2.19577593071481e-08	1.33499988528033e-08	5293/998/3932/5792/10451/3737/5906/6504/23114/5362/10000/56288/288/219699/7414/10580/6585/57689/8500/5058/4684/23705/5818/56253/79827/84623/83700/23085/3736/1272/7846/84790/57522/23426/8499/5829/2308/26050/145581/7082/51332/5604/4916/8826/4629/5579/5595/3683/3684/3687/92154/5336/5376/3690/5578/2885/57513/10458/260334/1000/1630/5605/5802/10332/5296/4868/84063/81/208/5819/8541/79784/94030/6711/80059/8440/113457/4133/57144/2036/5335/84612/4685/351/150084/3689/9901/80852/9223/6092/6091/253559/2932/4638/5361/4690/5291/22871/9353/5602/8633/287/7204/5295/51735/6586/90249/340156/22999/7430/4301/60/9863/91584/26047/653857/9046/137970/2260/4067/9788/3786/5747/5789/9414/6709/25/7410/57502/11141/8573/4478/26280/4068/84631	135
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	77/2663	149/9497	0.516778523489933	1.84297620637773	6.47392327084843	7.40493768880454e-10	5.15383663140796e-08	3.13345784305203e-08	5293/2475/8613/5737/26052/5321/183/10000/3265/22800/9846/2915/80310/10411/160851/255189/5604/7249/115/5595/113/5336/5578/2885/9267/8612/25759/23396/5605/3643/1785/5296/208/8605/6654/5899/11069/8527/23236/5332/5335/56894/27128/2917/5894/111/5291/5337/1608/1609/5156/3815/2549/108/5295/5159/2914/2911/56895/2768/1607/107/1956/5294/2918/9162/6009/55326/2185/114/8395/53358/6850/1902/1759/10555/139189	77
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	41/2663	65/9497	0.630769230769231	2.24949883012219	6.30970543724569	3.7813576010292e-09	2.19318740859694e-07	1.33342610141556e-07	5293/3782/57657/779/10000/3265/775/3709/7223/2100/5604/8912/5579/5595/409/8913/5578/610/84634/2767/5605/3780/5296/208/23236/5332/3763/8911/3708/5894/776/5291/7220/348980/5295/3781/3710/2776/9568/778/7224	41
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	88/2663	184/9497	0.478260869565217	1.70561152018808	6.03320693649553	7.04302540707456e-09	3.50138977380278e-07	2.12879414559697e-07	5590/5293/1969/998/2046/2048/22854/64218/5362/55740/56288/219699/6585/3983/3265/57689/29984/5058/81029/57522/7223/80031/4756/10509/56963/5595/4775/5336/85464/5578/1630/10501/5296/56896/5534/8440/2043/25791/57144/5335/84612/655/23654/9901/5894/6405/7474/6092/6091/2042/285220/91653/2932/5361/2047/4690/5291/7220/4636/84448/9353/2044/658/8633/5530/817/9037/5295/57556/6586/90249/2045/816/2770/10512/10371/4233/6608/91584/5533/1808/137970/5747/10507/5998/25/84628/7224	88
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	98/2663	212/9497	0.462264150943396	1.64856276436704	5.96138865152244	9.27000962223606e-09	4.03245418567269e-07	2.4516735974598e-07	5590/5293/1969/5909/998/10451/5906/55740/57568/10000/54518/56288/51196/2263/3265/1500/80310/1813/2904/10411/2321/5587/26037/51466/83660/5604/91860/3480/115/2903/5579/5595/3683/3684/113/2775/1398/136/5606/3690/8631/4804/5578/5608/27006/5605/3643/5296/23094/208/7408/25780/23683/5899/11069/51378/23236/5332/5335/84612/7074/3689/5894/9223/111/5291/2261/5156/3815/108/5295/51735/2246/5159/8817/2264/10636/2324/4301/60/9771/107/1956/9863/2770/889/9732/4233/285/2260/284/114/7010/2776/1902/2889/7410/2902	98
Human Diseases	Substance dependence	hsa05032	Morphine addiction	51/2663	91/9497	0.56043956043956	1.99868362955107	5.97536706315362	1.68762777156162e-08	6.39264715280548e-07	3.88663665370206e-07	2782/2563/5142/5567/134/2869/156/5138/5139/54331/2562/2558/2567/51764/115/5579/113/2775/409/5578/2788/5141/773/5566/5143/50940/5136/3763/111/59345/2565/2555/2560/108/5144/2561/2566/2568/2570/4988/10846/5137/107/2770/2792/5150/114/9568/774/2564/2556	51
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	61/2663	116/9497	0.525862068965517	1.87537066052028	5.9212699644097	1.83696757264525e-08	6.39264715280548e-07	3.88663665370206e-07	2782/5293/9132/5567/148327/1141/779/1131/10000/1103/3265/3784/775/3709/54331/1139/1133/5604/51764/115/5579/5595/113/2775/5578/596/2788/2767/84699/773/5566/5296/208/1385/23236/5332/3763/3761/3708/776/111/5291/59345/817/108/5295/3710/56479/9586/816/107/2770/2792/5294/1129/114/3786/3717/2776/774/778	61
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	63/2663	122/9497	0.516393442622951	1.84160290070979	5.84009551092975	2.68214188944963e-08	8.4853216138952e-07	5.15895234238637e-07	5293/2475/5567/148327/779/10000/3265/775/3709/5604/6755/1387/115/5579/5595/113/5336/1398/6416/5606/6777/6776/6774/5578/5608/2885/25759/2767/5605/84699/5566/5296/208/6654/6772/1385/3667/23236/5332/5335/6753/2033/3708/5894/776/2932/111/5291/5602/108/2690/5295/3710/9586/2692/107/2770/114/5747/3717/2776/53358/778	63
Organismal Systems	Nervous system	hsa04721	Synaptic vesicle cycle	45/2663	79/9497	0.569620253164557	2.03142453785347	5.746324015515	6.03063009818749e-08	1.74888272847437e-06	1.06329530678569e-06	6536/6512/26052/161/6506/6809/6539/6857/246213/23545/2054/51382/440279/594855/6532/535/4905/1213/339302/1785/773/6511/23025/5864/8775/245973/90423/525/529/8218/6529/10815/6531/6534/10814/1212/22999/50617/51606/245972/6505/1211/6812/1759/774	45
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	49/2663	89/9497	0.550561797752809	1.96345677553828	5.70029108143497	6.92023102054444e-08	1.85249261165344e-06	1.12628861144084e-06	2782/2563/5567/779/2572/6539/775/27165/54331/2562/2558/2567/51764/115/18/5579/113/2775/9001/4905/5578/2788/773/5566/2571/5334/57468/3763/6529/776/111/59345/2565/2555/2560/108/2561/2566/2568/2570/107/2770/2792/114/9568/774/778/2564/2556	49
